openssl_101f,boringssl_0.9,sim_value
tree_calculate_user_set,tree_calculate_user_set,0.9658739422992937
level_add_node,level_add_node,0.9658656943234862
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_dbl,0.9658296356030277
ecdsa_do_sign,BN_mod_sqrt,0.965801877009121
ec_GF2m_simple_add,ecdsa_sign_setup,0.9655386662987533
ec_GFp_simple_is_on_curve,ec_GFp_simple_cmp,0.9655243891396689
NAME_CONSTRAINTS_check,do_x509_check,0.965523816135087
x509_object_idx_cnt,do_name_ex,0.965445333085273
X509_REQ_to_X509,X509_REQ_to_X509,0.9653185541343225
asn1_template_noexp_d2i,asn1_d2i_ex_primitive,0.9653037117144598
asn1_d2i_ex_primitive,run_cert,0.9652303107433552
ec_GF2m_simple_is_on_curve,ec_GFp_simple_set_compressed_coordinates,0.9652078260500994
ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_is_on_curve,0.965129594769252
ec_GF2m_simple_add,ECDSA_do_verify,0.9649656079251723
ecdsa_do_verify,BN_is_prime_fasttest_ex,0.9649504923222214
RSA_verify_PKCS1_PSS_mgf1,RSA_verify_PKCS1_PSS_mgf1,0.9647453167402587
fmtint,do_print_ex,0.9646872664586048
def_load_bio,def_load_bio,0.9646572441932428
ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.9646542730618968
DES_ofb_encrypt,DES_ede3_cfb64_encrypt,0.9644767549234443
CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9644556832409614
ec_GF2m_simple_is_on_curve,ecdsa_sign_setup,0.9637542656224497
ec_GF2m_simple_add,BN_mod_sqrt,0.9637527351015928
do_print_ex,asn1_template_ex_i2d,0.9635638906898302
CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9633306433072581
RAND_poll,compute_wNAF,0.963090529010042
c2i_ASN1_BIT_STRING,d2i_ASN1_UINTEGER,0.9630046628174472
DES_cfb64_encrypt,CAST_cfb64_encrypt,0.9628247432570137
CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9627933824404625
d2i_ASN1_UINTEGER,c2i_ASN1_BIT_STRING,0.9623862916108779
ec_GF2m_simple_set_compressed_coordinates,ECDSA_do_verify,0.9623688152262273
CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9620908222078984
DES_ede3_cfb64_encrypt,CAST_cfb64_encrypt,0.9620674708405195
asn1_d2i_ex_primitive,asn1_template_ex_d2i,0.961853524707267
ec_GFp_simple_set_compressed_coordinates,ECDSA_do_verify,0.9617706855027304
CRYPTO_gcm128_aad,CRYPTO_gcm128_decrypt,0.9617548642039784
BF_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.9617326577693652
CAST_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.961713446550644
CRYPTO_gcm128_aad,CRYPTO_gcm128_encrypt,0.9616867770184019
asn1_template_ex_i2d,do_print_ex,0.96142479456693
DES_ncbc_encrypt,CAST_cfb64_encrypt,0.9609576362160196
a2i_ASN1_STRING,X509_NAME_oneline,0.9607937754322617
a2i_ASN1_ENUMERATED,X509_NAME_oneline,0.960782823282702
a2i_ASN1_INTEGER,X509_NAME_oneline,0.9607816580266302
asn1_template_noexp_d2i,run_cert,0.9607613549113061
PEM_do_header,compute_wNAF,0.9607073536741554
SSL_CTX_free,SSL_CTX_new,0.9606631425438505
ecdsa_do_verify,ecdsa_sign_setup,0.9606250057056029
NAME_CONSTRAINTS_check,do_print_ex,0.9606114249087874
ecdsa_do_sign,ECDSA_do_verify,0.9603538637958209
DES_ede3_cbc_encrypt,CAST_cfb64_encrypt,0.9602596145126325
BF_cfb64_encrypt,DES_ede3_cfb_encrypt,0.9601223888476564
CAST_cfb64_encrypt,DES_ede3_cfb_encrypt,0.9601109591028398
DES_ede3_cfb_encrypt,CAST_cfb64_encrypt,0.96006264783746
ec_GFp_simple_set_compressed_coordinates,ecdsa_sign_setup,0.9599812701867119
DES_enc_write,ASN1_generate_v3,0.9598341670835474
DES_ede3_cbcm_encrypt,CAST_cfb64_encrypt,0.9598284144929821
ec_GFp_simple_add,ECDSA_do_verify,0.9595817170567424
asn1_template_ex_d2i,asn1_d2i_ex_primitive,0.9595614360667084
ssl_cipher_process_rulestr,ssl_cipher_process_rulestr,0.959477323949274
BIO_get_accept_socket,asn1_d2i_ex_primitive,0.9594437532195663
NAME_CONSTRAINTS_check,asn1_template_ex_i2d,0.9592734097809597
asn1_d2i_ex_primitive,asn1_template_noexp_d2i,0.9592115035275239
BN_mod_mul_montgomery,BN_mod_exp_mont,0.9590585539921994
ec_GFp_simple_add,ecdsa_sign_setup,0.9589816685636937
BN_GF2m_mod_inv,BN_from_montgomery_word,0.9589786544263652
DES_ofb64_encrypt,DES_ede3_cfb64_encrypt,0.9587620794889187
DES_xcbc_encrypt,CAST_cfb64_encrypt,0.9586910500494468
ec_GF2m_simple_set_compressed_coordinates,BN_mod_sqrt,0.9584511851601996
tls1_cbc_remove_padding,RSA_padding_check_PKCS1_OAEP_mgf1,0.9582042512707385
ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_dbl,0.9578547302868842
OBJ_obj2txt,compute_wNAF,0.9571901242707057
PKCS12_key_gen_uni,a2d_ASN1_OBJECT,0.9571736637953538
RAND_query_egd_bytes,compute_wNAF,0.9570700390204969
RAND_query_egd_bytes,do_print_ex,0.9569972212129132
ec_GFp_simple_dbl,ecdsa_sign_setup,0.956985782234205
DES_ede3_ofb64_encrypt,DES_ede3_cfb64_encrypt,0.9569589044114564
ec_GFp_simple_dbl,ECDSA_do_verify,0.9566773935579077
fmtint,compute_wNAF,0.9566537904888344
DES_cbc_encrypt,CAST_cfb64_encrypt,0.9565301581940976
BN_mod_sqrt,ECDSA_do_verify,0.9565246069446378
do_dsa_print,do_rsa_print,0.9565206340378387
ec_GFp_simple_set_compressed_coordinates,ECDSA_do_sign_ex,0.9562329892984408
OBJ_obj2txt,ASN1_generate_v3,0.9561950477525387
CAST_ofb64_encrypt,CAST_cfb64_encrypt,0.9561521607466366
ecdsa_sign_setup,ECDSA_do_verify,0.9560994076090437
ec_GFp_simple_cmp,ec_GFp_simple_dbl,0.9560897949600848
ec_GFp_simple_is_on_curve,ECDSA_do_verify,0.9559083238735739
ecdsa_do_sign,BN_is_prime_fasttest_ex,0.955875174848653
BF_ofb64_encrypt,CAST_cfb64_encrypt,0.9557978107322922
ec_GFp_simple_set_compressed_coordinates,BN_mod_sqrt,0.9557686105777119
BN_mod_exp_mont,BN_is_prime_fasttest_ex,0.9557399773401287
ec_GF2m_simple_add,ECDSA_do_sign_ex,0.9555967759383707
ec_GFp_simple_dbl,ECDSA_do_sign_ex,0.9555353923495401
RSA_padding_add_PKCS1_PSS_mgf1,X509_NAME_oneline,0.955477151020122
crl_set_issuers,crl_set_issuers,0.9553861022095776
ec_GF2m_simple_add,mod_exp,0.9553606286202192
CAST_ofb64_encrypt,DES_ede3_cfb64_encrypt,0.9552299041438518
BF_ofb64_encrypt,DES_ede3_cfb64_encrypt,0.9552299041438518
RSA_verify_PKCS1_PSS_mgf1,a2d_ASN1_OBJECT,0.9549819612317367
BN_mod_sqrt,BN_is_prime_fasttest_ex,0.9549769447363505
ec_GFp_simple_is_on_curve,ecdsa_sign_setup,0.9549461409118238
a2i_ASN1_STRING,RC2_set_key,0.9548415008461622
asn1_template_ex_d2i,run_cert,0.954743850351748
RSA_padding_add_PKCS1_PSS_mgf1,RSA_verify_PKCS1_PSS_mgf1,0.9546925364594927
dtls1_get_record,ssl3_read_app_data,0.9545908097524849
BIO_get_accept_socket,run_cert,0.954466405123281
DES_enc_write,X509_NAME_oneline,0.9544569489669711
a2i_ASN1_INTEGER,RC2_set_key,0.9544239035083273
DES_enc_write,do_print_ex,0.9542538815202116
a2i_ASN1_ENUMERATED,RC2_set_key,0.9541815285658821
X509_NAME_oneline,ASN1_generate_v3,0.953973593622518
dhparam_main,run_cert,0.9538279251403408
OBJ_obj2txt,X509_NAME_oneline,0.9537810208310253
PEM_do_header,do_print_ex,0.9536819005703311
do_PVK_body,pkcs8_encrypt_raw,0.9536474963344039
CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt,0.9535348194686212
RAND_query_egd_bytes,PEM_do_header,0.9535177529308684
asn1_d2i_read_bio,BIO_read_asn1,0.9534693946144748
BN_is_prime_fasttest_ex,BN_mod_exp_mont,0.953450285180363
asn1_template_ex_i2d,RSA_padding_check_PKCS1_OAEP_mgf1,0.9534239668310884
