openssl_101f,libressl_3,sim_value
SSL_add_file_cert_subjects_to_stack,SSL_add_file_cert_subjects_to_stack,0.9956768751998198
conn_state,conn_state,0.9955862447316564
asn1_do_adb,asn1_do_adb,0.9955103969754253
do_dh_print,do_dh_print,0.995506501406415
multi_split,multi_split,0.995496854834774
load_pkcs12,load_pkcs12,0.9954414488203915
ca_main,ca_main,0.9954222976365412
tree_calculate_user_set,tree_calculate_user_set,0.995288729195744
EVP_DigestInit_ex,EVP_DigestInit_ex,0.9952663521502471
X509V3_extensions_print,X509V3_extensions_print,0.9952380952380953
x509_name_ex_d2i,x509_name_ex_d2i,0.9951491838753779
dsa_pub_decode,dsa_pub_decode,0.9951388985605822
msg_cb,msg_cb,0.9951215461089546
notice_section,notice_section,0.995089494555899
smime_main,smime_main,0.9950068634694
i2d_ECPrivateKey,i2d_ECPrivateKey,0.9949786017295439
dsa_sig_print,dsa_sig_print,0.9949546772035845
get_cert_by_subject,get_cert_by_subject,0.994863863079781
ec_wNAF_precompute_mult,ec_wNAF_precompute_mult,0.9948193552204003
NETSCAPE_SPKI_print,NETSCAPE_SPKI_print,0.9948083067092652
x509_certify,x509_certify,0.9948008189583015
add_certs_from_file,add_certs_from_file,0.9946737683089215
CMS_sign_receipt,CMS_sign_receipt,0.9946363237886837
r2i_certpol,r2i_certpol,0.9945572618635723
DES_set_key_unchecked,DES_set_key_unchecked,0.9945159753547681
dh_priv_decode,dh_priv_decode,0.9943157061226988
ec_GF2m_simple_oct2point,ec_GFp_simple_oct2point,0.9942831613775642
ec_asn1_group2parameters,ec_asn1_group2parameters,0.994273763562503
PKCS5_PBKDF2_HMAC,PKCS5_PBKDF2_HMAC,0.9942539640216959
verify_command,verify_command,0.9942462047062149
X509_STORE_get1_certs,X509_STORE_get1_certs,0.994240864627889
EC_KEY_check_key,EC_KEY_check_key,0.9942353981777008
b64_read,b64_read,0.9942214578310786
args_verify,args_verify,0.9941738774310653
PEM_X509_INFO_read_bio,PEM_X509_INFO_read_bio,0.9940431141010598
dh_pub_decode,dh_pub_decode,0.9939393303162704
ec_GFp_simple_is_on_curve,ec_GFp_simple_dbl,0.9938584094254574
crl_akid_check,crl_akid_check,0.993798987513306
TS_compute_imprint,TS_compute_imprint,0.9937826618991532
set_dist_point_name,set_dist_point_name,0.9936193351989757
CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.9936100188066335
ec_GFp_simple_dbl,ec_GFp_simple_is_on_curve,0.9936030843085715
x509_load_serial,x509_load_serial,0.9935384794133442
do_body,do_body,0.993475025350036
BN_mod_mul_montgomery,BN_mod_mul_montgomery,0.9934681233220011
