file_name,openssl_101f,boringssl_0,sim_value
a_bytes.c_a_bitstr.c,d2i_ASN1_type_bytes,c2i_ASN1_BIT_STRING,0.9754923758390828
bn_exp.c_exponentiation.c,BN_mod_exp_mont,mod_exp_recp,0.9753831582401167
ecs_ossl.c_ecdsa.c,ecdsa_sign_setup,ecdsa_sign_setup,0.9751144359045454
cfb_enc.c_cfb64ede.c,DES_cfb_encrypt,DES_ede3_cfb_encrypt,0.9747858957892617
x509_req.c_x509_req.c,X509_REQ_add_extensions_nid,X509_REQ_add_extensions_nid,0.9747832939322301
a_bytes.c_a_bitstr.c,d2i_ASN1_bytes,c2i_ASN1_BIT_STRING,0.9746010532465607
asn1_gen.c_asn1_gen.c,asn1_multi,asn1_multi,0.9744110638722485
ecp_smpl.c_oct.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9743310115349486
ec2_oct.c_simple.c,ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_is_on_curve,0.9741752427377516
a_object.c_a_object.c,c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.9739994516519153
ec2_smpl.c_oct.c,ec_GF2m_simple_add,ec_GFp_simple_set_compressed_coordinates,0.9738601358660157
ec2_smpl.c_simple.c,ec_GF2m_simple_add,ec_GFp_simple_is_on_curve,0.9737102918465765
ec2_smpl.c_simple.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9733440662996505
dsa_ossl.c_dsa.c,dsa_do_verify,DSA_do_check_signature,0.9732456015349062
ecp_oct.c_simple.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_dbl,0.9731894007108061
bntest.c_sqrt.c,test_sqrt,BN_mod_sqrt,0.9726483568959337
ec2_smpl.c_simple.c,ec_GF2m_simple_add,ec_GFp_simple_add,0.9725556900378068
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_template_ex_d2i,0.9720250646618577
e_aes.c_e_aes.c,aes_gcm_ctrl,aes_gcm_ctrl,0.9709762785848333
ecp_smpl.c_oct.c,ec_GFp_simple_add,ec_GFp_simple_set_compressed_coordinates,0.9709101097622272
t_x509a.c_t_x509a.c,X509_CERT_AUX_print,X509_CERT_AUX_print,0.9707853104454149
ech_ossl.c_ecdh.c,ecdh_compute_key,ECDH_compute_key,0.9707010009883861
ec2_oct.c_oct.c,ec_GF2m_simple_point2oct,ec_GFp_simple_point2oct,0.9704942699234183
bss_conn.c_connect.c,conn_state,conn_state,0.9704863749916806
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_noexp_d2i,0.9702589174096503
x509_lu.c_a_strex.c,x509_object_idx_cnt,do_print_ex,0.9697890860225006
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.9695890353272032
a_bytes.c_a_int.c,d2i_ASN1_bytes,d2i_ASN1_UINTEGER,0.9693840080665289
ecp_oct.c_simple.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_add,0.9693661523552435
x509_vfy.c_x509_vfy.c,X509_verify_cert,internal_verify,0.9691665947122955
x509_vfy.c_x509_vfy.c,internal_verify,X509_verify_cert,0.9689048494938485
cfb_enc.c_cfb64ede.c,DES_cfb_encrypt,DES_ede3_cfb64_encrypt,0.9687855128392381
by_dir.c_by_dir.c,get_cert_by_subject,get_cert_by_subject,0.9684762743648199
ecs_ossl.c_ecdsa.c,ecdsa_do_sign,ECDSA_do_sign_ex,0.9682925929557852
ec2_oct.c_simple.c,ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_add,0.9681812539692414
x509_vfy.c_x509_vfy.c,get_delta_sk,get_delta_sk,0.9681662450984632
ec2_smpl.c_simple.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_dbl,0.9678237847110325
a_bytes.c_a_int.c,d2i_ASN1_type_bytes,d2i_ASN1_UINTEGER,0.9677419049405596
ec2_smpl.c_simple.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_cmp,0.9676636371421684
ecp_smpl.c_simple.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_add,0.9674191849237801
ecs_ossl.c_ecdsa.c,ecdsa_do_verify,ECDSA_do_verify,0.9673165784158311
ecp_smpl.c_simple.c,ec_GFp_simple_cmp,ec_GFp_simple_is_on_curve,0.967219558234355
ecp_smpl.c_simple.c,ec_GFp_simple_add,ec_GFp_simple_cmp,0.9672098239197251
ec2_oct.c_ecdsa.c,ec_GF2m_simple_set_compressed_coordinates,ecdsa_sign_setup,0.9668086638074367
pcy_tree.c_pcy_tree.c,tree_calculate_user_set,tree_calculate_user_set,0.9658739422992937
pcy_node.c_pcy_node.c,level_add_node,level_add_node,0.9658656943234862
ec2_oct.c_simple.c,ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_dbl,0.9658296356030277
ecs_ossl.c_sqrt.c,ecdsa_do_sign,BN_mod_sqrt,0.965801877009121
ec2_smpl.c_ecdsa.c,ec_GF2m_simple_add,ecdsa_sign_setup,0.9655386662987533
ecp_smpl.c_simple.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_cmp,0.9655243891396689
v3_ncons.c_v3_utl.c,NAME_CONSTRAINTS_check,do_x509_check,0.965523816135087
x509_lu.c_a_strex.c,x509_object_idx_cnt,do_name_ex,0.965445333085273
x509_r2x.c_x509_r2x.c,X509_REQ_to_X509,X509_REQ_to_X509,0.9653185541343225
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_d2i_ex_primitive,0.9653037117144598
tasn_dec.c_v3name_test.c,asn1_d2i_ex_primitive,run_cert,0.9652303107433552
ec2_smpl.c_oct.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_set_compressed_coordinates,0.9652078260500994
ecp_smpl.c_simple.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_is_on_curve,0.965129594769252
ec2_smpl.c_ecdsa.c,ec_GF2m_simple_add,ECDSA_do_verify,0.9649656079251723
ecs_ossl.c_prime.c,ecdsa_do_verify,BN_is_prime_fasttest_ex,0.9649504923222214
rsa_pss.c_padding.c,RSA_verify_PKCS1_PSS_mgf1,RSA_verify_PKCS1_PSS_mgf1,0.9647453167402587
b_print.c_a_strex.c,fmtint,do_print_ex,0.9646872664586048
conf_def.c_conf.c,def_load_bio,def_load_bio,0.9646572441932428
ecp_oct.c_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.9646542730618968
ofb_enc.c_cfb64ede.c,DES_ofb_encrypt,DES_ede3_cfb64_encrypt,0.9644767549234443
gcm128.c_gcm.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9644556832409614
ec2_smpl.c_ecdsa.c,ec_GF2m_simple_is_on_curve,ecdsa_sign_setup,0.9637542656224497
ec2_smpl.c_sqrt.c,ec_GF2m_simple_add,BN_mod_sqrt,0.9637527351015928
a_strex.c_tasn_enc.c,do_print_ex,asn1_template_ex_i2d,0.9635638906898302
gcm128.c_gcm.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9633306433072581
rand_unix.c_wnaf.c,RAND_poll,compute_wNAF,0.963090529010042
a_bitstr.c_a_int.c,c2i_ASN1_BIT_STRING,d2i_ASN1_UINTEGER,0.9630046628174472
cfb64enc.c_cast.c,DES_cfb64_encrypt,CAST_cfb64_encrypt,0.9628247432570137
gcm128.c_gcm.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9627933824404625
a_int.c_a_bitstr.c,d2i_ASN1_UINTEGER,c2i_ASN1_BIT_STRING,0.9623862916108779
ec2_oct.c_ecdsa.c,ec_GF2m_simple_set_compressed_coordinates,ECDSA_do_verify,0.9623688152262273
gcm128.c_gcm.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9620908222078984
cfb64ede.c_cast.c,DES_ede3_cfb64_encrypt,CAST_cfb64_encrypt,0.9620674708405195
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_template_ex_d2i,0.961853524707267
ecp_oct.c_ecdsa.c,ec_GFp_simple_set_compressed_coordinates,ECDSA_do_verify,0.9617706855027304
gcm128.c_gcm.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_decrypt,0.9617548642039784
bf_cfb64.c_cfb64ede.c,BF_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.9617326577693652
c_cfb64.c_cfb64ede.c,CAST_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.961713446550644
gcm128.c_gcm.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_encrypt,0.9616867770184019
tasn_enc.c_a_strex.c,asn1_template_ex_i2d,do_print_ex,0.96142479456693
des_enc.c_cast.c,DES_ncbc_encrypt,CAST_cfb64_encrypt,0.9609576362160196
f_string.c_x509_obj.c,a2i_ASN1_STRING,X509_NAME_oneline,0.9607937754322617
f_enum.c_x509_obj.c,a2i_ASN1_ENUMERATED,X509_NAME_oneline,0.960782823282702
f_int.c_x509_obj.c,a2i_ASN1_INTEGER,X509_NAME_oneline,0.9607816580266302
tasn_dec.c_v3name_test.c,asn1_template_noexp_d2i,run_cert,0.9607613549113061
pem_lib.c_wnaf.c,PEM_do_header,compute_wNAF,0.9607073536741554
ssl_lib.c_ssl_lib.c,SSL_CTX_free,SSL_CTX_new,0.9606631425438505
ecs_ossl.c_ecdsa.c,ecdsa_do_verify,ecdsa_sign_setup,0.9606250057056029
v3_ncons.c_a_strex.c,NAME_CONSTRAINTS_check,do_print_ex,0.9606114249087874
ecs_ossl.c_ecdsa.c,ecdsa_do_sign,ECDSA_do_verify,0.9603538637958209
des_enc.c_cast.c,DES_ede3_cbc_encrypt,CAST_cfb64_encrypt,0.9602596145126325
bf_cfb64.c_cfb64ede.c,BF_cfb64_encrypt,DES_ede3_cfb_encrypt,0.9601223888476564
c_cfb64.c_cfb64ede.c,CAST_cfb64_encrypt,DES_ede3_cfb_encrypt,0.9601109591028398
cfb64ede.c_cast.c,DES_ede3_cfb_encrypt,CAST_cfb64_encrypt,0.96006264783746
ecp_oct.c_ecdsa.c,ec_GFp_simple_set_compressed_coordinates,ecdsa_sign_setup,0.9599812701867119
enc_writ.c_asn1_gen.c,DES_enc_write,ASN1_generate_v3,0.9598341670835474
ede_cbcm_enc.c_cast.c,DES_ede3_cbcm_encrypt,CAST_cfb64_encrypt,0.9598284144929821
ecp_smpl.c_ecdsa.c,ec_GFp_simple_add,ECDSA_do_verify,0.9595817170567424
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_d2i_ex_primitive,0.9595614360667084
ssl_ciph.c_ssl_cipher.c,ssl_cipher_process_rulestr,ssl_cipher_process_rulestr,0.959477323949274
b_sock.c_tasn_dec.c,BIO_get_accept_socket,asn1_d2i_ex_primitive,0.9594437532195663
v3_ncons.c_tasn_enc.c,NAME_CONSTRAINTS_check,asn1_template_ex_i2d,0.9592734097809597
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_template_noexp_d2i,0.9592115035275239
bn_mont.c_exponentiation.c,BN_mod_mul_montgomery,BN_mod_exp_mont,0.9590585539921994
ecp_smpl.c_ecdsa.c,ec_GFp_simple_add,ecdsa_sign_setup,0.9589816685636937
bn_gf2m.c_montgomery.c,BN_GF2m_mod_inv,BN_from_montgomery_word,0.9589786544263652
ofb64enc.c_cfb64ede.c,DES_ofb64_encrypt,DES_ede3_cfb64_encrypt,0.9587620794889187
xcbc_enc.c_cast.c,DES_xcbc_encrypt,CAST_cfb64_encrypt,0.9586910500494468
ec2_oct.c_sqrt.c,ec_GF2m_simple_set_compressed_coordinates,BN_mod_sqrt,0.9584511851601996
